,Name,Rating,Total reviews,Sevice & Location,Salary,Jobs,Benefits
0,TCS,3.3,(1.1L),IT Services & Consulting | Bangalore / Bengaluru +439 other locations,9.8L,2.1k,10.6k
1,Accenture,3.7,(71.3k),IT Services & Consulting | Bangalore / Bengaluru +255 other locations,6.5L,40.6k,6.7k
2,Wipro,3.6,(63.5k),IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,4.8L,6.9k,4.6k
3,Cognizant,3.6,(59.8k),IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,6L,706,5.5k
4,Capgemini,3.7,(51.4k),IT Services & Consulting | Bangalore / Bengaluru +183 other locations,4.8L,1.9k,3.7k
5,HDFC Bank,3.8,(50.6k),Banking | Mumbai +1823 other locations,1.5L,245,3.2k
6,Infosys,3.5,(47.3k),IT Services & Consulting | Bangalore / Bengaluru +246 other locations,5.2L,2.6k,4.8k
7,ICICI Bank,4.0,(45.1k),Banking | Mumbai +1437 other locations,1.5L,22,3.7k
8,HCLTech,3.4,(44.4k),IT Services & Consulting | Chennai +228 other locations,3.8L,220,3.8k
9,Tech Mahindra,3.4,(42.4k),IT Services & Consulting | Hyderabad / Secunderabad +332 other locations,2.8L,470,3.4k
10,Genpact,3.6,(40.9k),IT Services & Consulting | Hyderabad / Secunderabad +181 other locations,2.3L,1.4k,3.5k
11,Teleperformance,3.8,(36.7k),BPO | Mumbai +255 other locations,96.2k,1.4k,1.8k
12,Jio,4.4,(32.4k),Telecom | Mumbai +1903 other locations,62.1k,3,2.5k
13,Axis Bank,3.6,(32.3k),Banking | Mumbai +1502 other locations,1.1L,185,2.1k
14,Concentrix Corporation,3.6,(31.5k),BPO | Bangalore / Bengaluru +176 other locations,1.3L,71,3.1k
15,Amazon,3.9,(30.7k),Internet | Bangalore / Bengaluru +519 other locations,1.5L,1.6k,4.1k
16,iEnergizer,4.6,(27.1k),BPO | Noida +51 other locations,24.1k,61,430
17,Reliance Retail,3.9,(26.9k),Retail | Mumbai +1155 other locations,75.1k,157,1.8k
18,LTIMindtree,3.6,(25.8k),IT Services & Consulting | Bangalore / Bengaluru +146 other locations,1.9L,493,777
19,IBM,3.9,(25.3k),IT Services & Consulting | Bangalore / Bengaluru +160 other locations,2.1L,2.1k,2.6k
20,HDB Financial Services,3.9,(25.1k),NBFC | Mumbai +1092 other locations,50k,224,1.5k
21,Larsen & Toubro Limited,3.9,(23.2k),Engineering & Construction | Chennai +759 other locations,74.4k,187,2.5k
22,Deloitte,3.7,(22.4k),Management Consulting | Hyderabad / Secunderabad +187 other locations,2.5L,1.8k,2.4k
23,Kotak Mahindra Bank,3.6,(21.9k),Banking | Mumbai +683 other locations,86.7k,107,1.3k
24,Reliance Industries,4.0,(19.8k),Oil & Gas | Jamnagar +814 other locations,72.6k,57,1.8k
25,Vodafone Idea,3.9,(17.5k),Telecom | Pune +703 other locations,50.3k,42,2k
26,Bharti Airtel,3.8,(16.8k),Telecom | Gurgaon / Gurugram +790 other locations,48.7k,135,1.6k
27,BYJU'S,3.2,(16.4k),EdTech | Bangalore / Bengaluru +322 other locations,53.6k,--,1.7k
28,WNS,3.3,(14.8k),IT Services & Consulting | Pune +65 other locations,68.7k,105,1.3k
29,IDFC FIRST Bank,3.9,(14k),Banking | Mumbai +714 other locations,49k,26,692
30,Tata Motors,4.1,(14k),Automobile | Pune +506 other locations,42.5k,184,1.6k
31,Ernst & Young,3.4,(14k),Management Consulting | Bangalore / Bengaluru +133 other locations,1.4L,2.3k,1.2k
32,IndusInd Bank,3.4,(13.8k),Banking | Mumbai +789 other locations,52k,111,793
33,AU Small Finance Bank,3.9,(13.8k),Banking | Jaipur +786 other locations,29k,50,577
34,Bajaj Finserv,3.9,(12.6k),NBFC | Pune +1167 other locations,30.3k,9,706
35,Flipkart,3.9,(12.6k),Internet | Bangalore / Bengaluru +557 other locations,54.3k,165,1.4k
36,Muthoot FinCorp,4.5,(12.3k),NBFC | Bangalore / Bengaluru +1098 other locations,9k,49,275
37,PwC,3.3,(12k),Management Consulting | Bangalore / Bengaluru +132 other locations,1.2L,879,800
38,Mahindra & Mahindra,4.0,(11.8k),Automobile | Pune +561 other locations,39.9k,1,1.2k
39,DXC Technology,3.6,(11.8k),IT Services & Consulting | Bangalore / Bengaluru +132 other locations,73.3k,212,1.1k
40,Infosys BPM,3.5,(11.7k),BPO | Bangalore / Bengaluru +96 other locations,73.1k,76,1.1k
41,HDFC Life,3.9,(11.7k),Insurance | Mumbai +700 other locations,32.7k,129,614
42,Bandhan Bank,3.7,(10.7k),Banking | Kolkata +997 other locations,25.2k,14,517
43,Conneqt Business Solutions,3.5,(10.1k),BPO | Hyderabad / Secunderabad +266 other locations,26.2k,350,772
44,Mphasis,3.3,(10k),IT Services & Consulting | Bangalore / Bengaluru +63 other locations,73.2k,53,846
45,Yes Bank,3.6,(9.9k),Banking | Mumbai +539 other locations,43k,136,608
46,Tata Steel,4.0,(9.7k),Iron & Steel | Jamshedpur +229 other locations,34.1k,--,659
47,Quess,3.8,(9.5k),Recruitment | Bangalore / Bengaluru +741 other locations,30.8k,25,440
48,Maruti Suzuki,4.2,(9.4k),Automobile | Gurgaon / Gurugram +451 other locations,28.2k,713,1.1k
49,Asian Paints,4.0,(9.3k),Chemicals | Mumbai +549 other locations,25.4k,59,884
50,Startek,3.1,(9.3k),BPO | Bangalore / Bengaluru +105 other locations,24.5k,134,681
51,UltraTech Cement,4.1,(9.2k),Building Material | Mumbai +534 other locations,23.6k,32,619
52,Paytm,3.2,(9.2k),FinTech | Noida +418 other locations,34k,375,582
53,Shriram Finance,4.0,(8.9k),NBFC | Chennai +1111 other locations,14.9k,5,21
54,Bajaj Finance,3.9,(8.9k),NBFC | Pune +971 other locations,22.6k,7.1k,502
55,Equitas Small Finance Bank,4.4,(8.7k),Banking | Chennai +480 other locations,13.2k,21,397
56,Sutherland Global Services,3.4,(8.7k),BPO | Chennai +81 other locations,34.5k,184,901
57,EXL Service,3.6,(8.4k),Analytics & KPO | Noida +62 other locations,44.2k,1.5k,799
58,Cipla,4.1,(8.4k),Pharma | Mumbai +292 other locations,26k,61,850
59,Ericsson,3.9,(8.3k),Telecom | Noida +163 other locations,42.4k,85,998
60,Wells Fargo,3.7,(8.3k),Financial Services | Bangalore / Bengaluru +27 other locations,55.5k,173,855
61,Samsung,3.9,(8.3k),Consumer Electronics & Appliances | Noida +581 other locations,26.3k,18,520
62,Dr. Reddy's,4.0,(8.1k),Pharma | Hyderabad / Secunderabad +215 other locations,26.1k,10,740
63,Optum Global Solutions,4.0,(7.7k),IT Services & Consulting | Hyderabad / Secunderabad +68 other locations,48.7k,133,686
64,Delhivery,3.8,(7.6k),Logistics | Gurgaon / Gurugram +754 other locations,20.9k,193,656
65,ICICI Prudential Life Insurance,4.0,(7.6k),Insurance | Mumbai +505 other locations,23.1k,632,625
66,JSW Steel,3.9,(7.6k),Iron & Steel | Ballari +193 other locations,30.4k,111,602
67,JPMorgan Chase & Co.,3.8,(7.6k),Financial Services | Bangalore / Bengaluru +55 other locations,86.1k,758,845
68,HGS,3.7,(7.5k),BPO | Bangalore / Bengaluru +121 other locations,20.8k,19,968
69,Jana Small Finance Bank,3.8,(7.5k),Banking | Bangalore / Bengaluru +418 other locations,14.2k,35,623
70,Ujjivan Small Finance Bank,4.0,(7.4k),Banking | Bangalore / Bengaluru +533 other locations,13k,210,579
71,Sun Pharmaceutical Industries,4.1,(7.4k),Pharma | Vadodara +265 other locations,23.5k,337,594
72,Hexaware Technologies,3.4,(7.4k),IT Services & Consulting | Chennai +69 other locations,53.3k,648,547
73,Amazon Development Centre India,3.8,(7.4k),Internet | Hyderabad / Secunderabad +146 other locations,38.4k,8,20
74,Lupin,4.1,(7.2k),Pharma | Pune +201 other locations,22.5k,36,764
75,L&T Construction,4.0,(7.2k),Engineering & Construction | Chennai +433 other locations,19.2k,--,929
76,Ekart Logistics,3.9,(7.2k),Logistics | Bangalore / Bengaluru +740 other locations,15.8k,--,422
77,Zydus Lifesciences,3.9,(7.2k),Pharma | Ahmedabad +176 other locations,20k,28,605
78,Hindustan Unilever,4.2,(7.1k),FMCG | Mumbai +533 other locations,20.1k,36,704
79,KPMG India,3.4,(7k),Management Consulting | Bangalore / Bengaluru +112 other locations,64.9k,65,749
80,ITC,3.9,(7k),FMCG | Bangalore / Bengaluru +376 other locations,24.5k,73,638
81,Axis Max Life Insurance,4.0,(6.9k),Insurance | New Delhi +496 other locations,19.7k,139,495
82,Megha Engineering & Infrastructures,3.9,(6.8k),Engineering & Construction | Hyderabad / Secunderabad +406 other locations,18.8k,40,539
83,Tata Projects,4.2,(6.7k),Engineering & Construction | Mumbai +286 other locations,22.2k,23,540
84,Coforge,3.2,(6.5k),IT Services & Consulting | Noida +103 other locations,48.7k,131,273
85,FIS,3.8,(6.4k),FinTech | Pune +61 other locations,38.8k,125,721
86,Bajaj Life Insurance,3.9,(6.4k),Insurance | Pune +609 other locations,17k,57,474
87,L&T Technology Services,3.1,(6.4k),IT Services & Consulting | Bangalore / Bengaluru +93 other locations,42.8k,--,444
88,Cholamandalam Investment & Finance,3.8,(6.4k),Financial Services | Chennai +843 other locations,12.8k,15,293
89,IIFL Finance,4.0,(6.2k),NBFC | Mumbai +802 other locations,14.1k,70,399
90,Oracle,3.5,(6.2k),Software Product | Bangalore / Bengaluru +56 other locations,62.8k,753,617
91,Muthoot Finance,3.7,(6.2k),NBFC | Bangalore / Bengaluru +784 other locations,13k,87,325
92,Indian Army,4.7,(6.2k),Defence & Aerospace | New Delhi +364 other locations,9.5k,--,728
93,Omega Healthcare,3.8,(6.2k),BPO | Chennai +69 other locations,26.5k,109,391
94,JLL,4.1,(6.2k),Real Estate | Gurgaon / Gurugram +84 other locations,24.2k,331,539
95,eClerx,3.1,(6.1k),IT Services & Consulting | Pune +32 other locations,32k,182,555
96,HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations,39.8k,--,661
97,Piramal Finance,4.2,(6k),NBFC | Mumbai +423 other locations,12.7k,6,445
98,Virtusa Consulting Services,3.7,(6k),IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,56.7k,1.3k,318
99,DMart,3.9,(5.9k),Retail | Mumbai +247 other locations,18.6k,207,470
100,Indiamart Intermesh,3.5,(5.8k),Internet | Noida +173 other locations,20.4k,551,432
101,HSBC Group,3.9,(5.8k),Financial Services | Bangalore / Bengaluru +63 other locations,42.8k,128,1.1k
102,SMFG India Credit,3.9,(5.8k),NBFC | Mumbai +595 other locations,11k,79,348
103,Aurobindo Pharma,4.0,(5.7k),Pharma | Hyderabad / Secunderabad +115 other locations,20.7k,13,468
104,Udaan,3.9,(5.7k),Internet | Bangalore / Bengaluru +367 other locations,15.7k,6,755
105,Access Healthcare,3.7,(5.7k),BPO | Chennai +64 other locations,28.5k,502,347
106,Siemens,3.9,(5.7k),Industrial Automation | Bangalore / Bengaluru +152 other locations,33.7k,800,633
107,BigBasket,3.9,(5.7k),Internet | Bangalore / Bengaluru +140 other locations,19.2k,83,381
108,PolicyBazaar,3.7,(5.6k),Internet | Gurgaon / Gurugram +149 other locations,17.2k,471,231
109,Manappuram Finance,3.9,(5.6k),NBFC | Bangalore / Bengaluru +650 other locations,9.1k,3,260
110,ICICI Lombard General Insurance Company,3.5,(5.6k),Insurance | Mumbai +313 other locations,20.2k,188,366
111,Tata Capital,4.0,(5.6k),NBFC | Mumbai +439 other locations,15.8k,3.5k,258
112,Firstsource Solutions,3.5,(5.6k),BPO | Bangalore / Bengaluru +74 other locations,24.2k,150,570
113,Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction | Mumbai +189 other locations,15.3k,75,632
114,GlobalLogic,3.5,(5.6k),IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,40.3k,46,515
115,Standard Chartered,3.6,(5.6k),Banking | Chennai +68 other locations,41.9k,--,305
116,Mahindra Finance,3.9,(5.5k),NBFC | Mumbai +731 other locations,12.1k,469,507
117,Apollo Hospitals,4.1,(5.5k),Healthcare | Chennai +229 other locations,16.5k,156,507
118,Bosch Global Software Technologies,3.7,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +47 other locations,40.1k,23,625
119,UST,3.7,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +51 other locations,39.5k,146,408
120,Ashok Leyland,4.0,(5.5k),Automobile | Chennai +260 other locations,18.6k,--,642
121,Swiggy,3.7,(5.4k),Internet | Bangalore / Bengaluru +229 other locations,23k,261,343
122,Citicorp,3.7,(5.4k),Financial Services | Pune +68 other locations,52.2k,--,517
123,Hero MotoCorp,4.1,(5.3k),Automobile | Gurgaon / Gurugram +365 other locations,15.9k,2,584
124,CGI Group,4.0,(5.3k),IT Services & Consulting | Bangalore / Bengaluru +43 other locations,45.5k,546,354
125,Cyient,3.6,(5.3k),IT Services & Consulting | Hyderabad / Secunderabad +48 other locations,27.5k,85,466
126,SBI Cards & Payment Services,3.6,(5.2k),Financial Services | Gurgaon / Gurugram +436 other locations,15.9k,100,344
127,Kalpataru Projects International,4.2,(5.1k),Engineering & Construction | Mumbai +321 other locations,13.8k,1,203
128,BNY,3.6,(5.1k),Financial Services | Pune +25 other locations,30.8k,2,528
129,JustDial,3.5,(5.1k),Internet | Noida +229 other locations,15.5k,53,372
130,IQVIA,3.7,(5.1k),Clinical Research | Bangalore / Bengaluru +65 other locations,30.7k,25,524
131,NTT Data,3.8,(5k),IT Services & Consulting | Bangalore / Bengaluru +80 other locations,36k,185,156
132,Nagarjuna Construction Company,4.0,(5k),Engineering & Construction | Hyderabad / Secunderabad +296 other locations,12.1k,13,408
133,SBI Life Insurance Company,3.7,(5k),Insurance | Mumbai +656 other locations,11.8k,8,327
134,TVS Motor,3.9,(5k),Automobile | Hosur +349 other locations,15.7k,70,536
135,CBRE,4.1,(5k),Real Estate | Hyderabad / Secunderabad +91 other locations,18.7k,24,443
136,Schneider Electric,4.2,(5k),Industrial Automation | Bangalore / Bengaluru +119 other locations,24.4k,23,436
137,Persistent Systems,3.6,(4.9k),IT Services & Consulting | Pune +41 other locations,44.8k,259,369
138,State Bank of India,3.8,(4.9k),Banking | Mumbai +618 other locations,11.5k,15,400
139,Atos,3.8,(4.9k),IT Services & Consulting | Pune +49 other locations,34.2k,91,456
140,vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +413 other locations,13k,11,643
141,Ecom Express,4.0,(4.8k),Logistics | Gurgaon / Gurugram +775 other locations,9.6k,--,323
142,KEC International,4.0,(4.8k),Engineering & Construction | Mumbai +314 other locations,13.2k,9,441
143,Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations,27.8k,8,1
144,Amdocs,3.6,(4.8k),Software Product | Pune +23 other locations,37.2k,11,614
145,JBM Group,3.9,(4.7k),Auto Components | Gurgaon / Gurugram +117 other locations,14k,41,342
146,Varun Beverages,4.0,(4.7k),Beverage | New Delhi +379 other locations,11.9k,30,321
147,Nagarro,3.9,(4.7k),IT Services & Consulting | Gurgaon / Gurugram +49 other locations,32.3k,923,1.1k
148,ITC Infotech,3.7,(4.7k),IT Services & Consulting | Bangalore / Bengaluru +68 other locations,29.6k,76,281
149,Bosch,4.1,(4.6k),Auto Components | Bangalore / Bengaluru +131 other locations,20.8k,--,599
150,Home Credit Finance,4.0,(4.6k),NBFC | Gurgaon / Gurugram +136 other locations,9.4k,90,629
151,Randstad,3.7,(4.6k),Recruitment | Hyderabad / Secunderabad +352 other locations,16.5k,9,342
152,EY Global Delivery Services ( EY GDS),3.5,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +56 other locations,49k,10,146
153,Utkarsh Small Finance Bank,3.6,(4.5k),Banking | Varanasi +409 other locations,10.9k,23,270
154,Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting | Bangalore / Bengaluru +104 other locations,27.1k,237,546
155,Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +233 other locations,13k,--,445
156,Aditya Birla Fashion and Retail,4.1,(4.5k),Fashion & Textile | Bangalore / Bengaluru +291 other locations,13.1k,77,391
157,L&T Finance,3.9,(4.5k),NBFC | Mumbai +634 other locations,11.8k,--,261
158,Dell,3.8,(4.5k),Consumer Electronics & Appliances | Bangalore / Bengaluru +117 other locations,28.7k,24,540
159,Havells,3.9,(4.5k),Electrical Equipment | Noida +261 other locations,15k,33,315
160,CARS24,3.4,(4.5k),Internet | Gurgaon / Gurugram +172 other locations,15.5k,111,410
161,OPPO,3.9,(4.4k),Consumer Electronics & Appliances | Greater Noida +410 other locations,11.8k,6,602
162,Intas Pharmaceuticals,4.1,(4.4k),Pharma | Ahmedabad +148 other locations,17.2k,58,362
163,R1 RCM,3.8,(4.4k),BPO | New Delhi +46 other locations,21.4k,178,334
164,Tata AIA Life Insurance,3.9,(4.4k),Insurance | Mumbai +441 other locations,14.1k,653,297
165,Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +287 other locations,13.9k,4,518
166,Deutsche Bank,3.8,(4.3k),Banking | Pune +42 other locations,36.1k,424,399
167,Hetero,3.9,(4.3k),Pharma | Hyderabad / Secunderabad +68 other locations,15.1k,142,332
168,Motilal Oswal Financial Services,3.7,(4.3k),Financial Services | Mumbai +168 other locations,13k,41,167
169,Berger Paints,3.7,(4.3k),Chemicals | Kolkata +354 other locations,9.9k,128,273
170,Team Lease,3.9,(4.3k),Recruitment | Bangalore / Bengaluru +400 other locations,16.1k,2,215
171,VE Commercial Vehicles,3.9,(4.2k),Automobile | Indore +179 other locations,14.2k,5,340
172,Lenskart,3.3,(4.2k),Internet | New Delhi +239 other locations,12.9k,121,199
173,Thermax Limited,4.2,(4.2k),Industrial Machinery | Pune +252 other locations,13.1k,87,371
174,Bajaj Auto,3.8,(4.1k),Automobile | Pune +319 other locations,14.6k,--,496
175,Macleods Pharmaceuticals,3.7,(4.1k),Pharma | Mumbai +134 other locations,15.6k,6,334
176,Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +259 other locations,1.8k,113,31
177,Aakash Educational Services,3.2,(4.1k),Education & Training | New Delhi +244 other locations,13.8k,64,212
178,Jubilant Foods Works,3.7,(4.1k),Hospitality | New Delhi +263 other locations,9.3k,199,180
179,LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances | Pune +298 other locations,11k,--,399
